name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,duelLost,challengeLost,totalContest,wonContest,blockedScoringAttempt,totalClearance,outfielderBlock,interceptionWon,totalTackle,wonTackle,wasFouled,keyPass,firstName,lastName,aerialLost,fouls,unsuccessfulTouch,bigChanceCreated,totalOffside,dispossessed,shotOffTarget,onTargetScoringAttempt,goalAssist,bigChanceMissed,hitWoodwork,goals,punches,ownGoals
Heung-min Son,heung-min-son,H. M. Son,F,7,184,126618,M,HMSon,111505,"{'alpha2': 'KR', 'alpha3': 'KOR', 'name': 'South Korea', 'slug': 'south-korea'}",EUR,710553600,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هيونغ مين سون', 'hi': 'ह्युंग-मिन सोन', 'bn': 'হেউং-মিন সন'}, 'shortNameTranslation': {'ar': 'ه. م. سون', 'hi': 'एच.एम. सोन', 'bn': 'এইচ. এম. সন'}}",16.0,13.0,,,5.0,5.0,8.0,11.0,,,2.0,,,,69.0,25.0,7.1,7.0,0.871,1.2447,0.124029,"{'original': 7.1, 'alternative': 6.9}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,2.0,,1.0,,1.0,,,,,,,,,,,,2.0,,,1.0,,3.0,,1.0,1.0,1.0,,
Manor Solomon,manor-solomon,M. Solomon,M,6,167,4868,M,,862223,"{'alpha2': 'IL', 'alpha3': 'ISR', 'name': 'Israel', 'slug': 'israel'}",EUR,932774400,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانور سولومون', 'hi': 'मनोर सोलोमन', 'bn': 'মনোর সলোমন'}, 'shortNameTranslation': {'ar': 'م. سولومون', 'hi': 'एम. सोलोमन', 'bn': 'এম. সলোমন'}}",22.0,22.0,,,2.0,2.0,20.0,21.0,,2.0,2.0,,,,21.0,31.0,7.5,2.0,0.0178,0.0,0.076354,"{'original': 7.5, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,,1.0,,2.0,1.0,1.0,,,1.0,1.0,1.0,,3.0,,,,,,,1.0,,,,,,,,,
Ben Davies,ben-davies,B. Davies,D,33,181,2694,M,,94758,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,735609600,"{'value': 4600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بين ديفيز', 'hi': 'बेन डेविस', 'bn': 'বেন ডেভিস'}, 'shortNameTranslation': {'ar': 'ب. ديفيز', 'hi': 'बी. डेविस', 'bn': 'বি. ডেভিস'}}",11.0,11.0,1.0,1.0,5.0,5.0,6.0,6.0,,1.0,1.0,,,,15.0,12.0,6.8,,0.0,0.0,0.00580445,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
Oliver Skipp,skipp-oliver,O. Skipp,M,22,175,1368,M,,859901,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,969062400,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سكيب، أوليفر', 'hi': 'स्किप, ओलिवर', 'bn': 'স্কিপ, অলিভার'}, 'shortNameTranslation': {'ar': 'أ. سكيب', 'hi': 'ओ. स्किप', 'bn': 'ও. স্কিপ'}}",1.0,,,,,,,1.0,,,,,,,15.0,1.0,6.4,1.0,0.0,0.0,0.0,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
Pierre-Emile Højbjerg,pierre-emile-hojbjerg,P. Højbjerg,M,8,185,4466,M,hojbjerg23,149593,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,807580800,"{'value': 18100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيير إيميل هويبيرج', 'hi': 'पियरे-एमिले होजबर्ज', 'bn': 'পিয়েরে-এমিল হজবজের্গ'}, 'shortNameTranslation': {'ar': 'ب. هويبيرج', 'hi': 'पी. होजबर्ज', 'bn': 'পি. হজবজের্গ'}}",13.0,13.0,3.0,3.0,4.0,4.0,9.0,9.0,,,2.0,,,,8.0,14.0,6.7,,0.0146,0.0,0.0143042,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Alejo Véliz,alejo-veliz,A. Véliz,F,9,187,3176,M,aleeveliz,1116987,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1063929600,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليخو فيليز', 'hi': 'एलेजो वेलिज़', 'bn': 'আলেজো ভেলিজ'}, 'shortNameTranslation': {'ar': 'أ. فيليز', 'hi': 'ए. वेलिज़', 'bn': 'এ. ভেলিজ'}}",1.0,1.0,,,,,1.0,1.0,,,,,,,8.0,1.0,6.5,,0.0,0.0,0.00281984,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,Alejo Veliz,,,,,,,,,,,,,,,
Fraser Forster,fraser-forster,F. Forster,G,,201,1211,M,,19314,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,574560000,"{'value': 660000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فريزر فورستر', 'hi': 'फ्रेजर फोर्स्टर', 'bn': 'ফ্রেজার ফরস্টার'}, 'shortNameTranslation': {'ar': 'ف. فورستر', 'hi': 'एफ. फोर्स्टर', 'bn': 'এফ. ফরস্টার'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerson Royal,emerson-royal,E. Royal,D,22,183,9716,M,emerson_royal,856123,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,916272000,"{'value': 8600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيمرسون رويال', 'hi': 'एमर्सन रॉयल', 'bn': 'এমারসন রয়্যাল'}, 'shortNameTranslation': {'ar': 'إ. رويال', 'hi': 'एमर्सन रॉयल', 'bn': 'এমারসন রয়্যাল'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashley Phillips,ashley-phillips,A. Phillips,D,26,192,1090,M,,1134744,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1119744000,"{'value': 3200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أشلي فيليبس', 'hi': 'एश्ले फिलिप्स', 'bn': 'অ্যাশলে ফিলিপস'}, 'shortNameTranslation': {'ar': 'أ. فيليبس', 'hi': 'ए. फिलिप्स', 'bn': 'এ. ফিলিপস'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie Donley,jamie-donley,J. Donley,M,14,183,1466,M,,1150934,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,1104710400,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمي دونلي', 'hi': 'जेमी डोनली', 'bn': 'জেমি ডনলি'}, 'shortNameTranslation': {'ar': 'ج. دونلي', 'hi': 'जे. डोनली', 'bn': 'জে. ডনলি'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,Jamie Donley,,,,,,,,,,,,,,,
Alisson,alisson,Alisson,G,1,193,66760,M,AlissonBecker,243609,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,717984000,"{'value': 18700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليسون', 'hi': 'एलिसन', 'bn': 'অ্যালিসন'}, 'shortNameTranslation': {'ar': 'أليسون', 'hi': 'एलिसन', 'bn': 'অ্যালিসন'}}",47.0,30.0,25.0,10.0,25.0,30.0,5.0,17.0,,,15.0,1.0,3.0,8.0,90.0,64.0,8.1,17.0,0.0,0.0,0.0007755,"{'original': 8.1, 'alternative': 7.9}",0,0.2194,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,
Joe Gomez,joe-gomez,J. Gomez,D,2,188,14017,M,joegomez5,318927,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,864345600,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جو غوميز', 'hi': 'जो गोमेज़', 'bn': 'জো গোমেজ'}, 'shortNameTranslation': {'ar': 'ج. غوميز', 'hi': 'जे. गोमेज़', 'bn': 'জে গোমেজ'}}",33.0,24.0,,,16.0,17.0,8.0,17.0,2.0,7.0,2.0,,,,74.0,55.0,6.8,17.0,0.0,0.0,0.00613948,"{'original': 6.8, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,4.0,2.0,1.0,1.0,,2.0,,,2.0,1.0,2.0,,,,,1.0,3.0,,,1.0,,,,,,,,
Joël Matip,joel-matip,J. Matip,D,,195,3499,M,joelmatip,51501,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,681609600,,"{'nameTranslation': {'ar': 'جويل ماتيب', 'hi': 'जोएल माटिप', 'bn': 'জোয়েল মাতিপ'}, 'shortNameTranslation': {'ar': 'ج. ماتيب', 'hi': 'जे. माटिप', 'bn': 'জে. মাতিপ'}}",41.0,33.0,3.0,1.0,27.0,30.0,6.0,11.0,5.0,7.0,3.0,,,,90.0,65.0,6.7,9.0,0.0169,0.0,0.00162115,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,3.0,,1.0,,,10.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,1.0
Virgil van Dijk,virgil-van-dijk,V. van Dijk,D,4,195,103743,M,VvD,151545,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,678931200,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيرجيل فان دايك', 'hi': 'वर्जिल वान डिक', 'bn': 'ভার্জিল ভ্যান ডাইক'}, 'shortNameTranslation': {'ar': 'ف. فان دايك', 'hi': 'वी. वान डिक', 'bn': 'ভি. ভ্যান ডাইক'}}",42.0,40.0,9.0,7.0,32.0,32.0,8.0,10.0,1.0,4.0,2.0,,,,90.0,66.0,8.4,3.0,0.0372,0.0,0.119574,"{'original': 8.4, 'alternative': 8.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,,,,,,8.0,6.0,2.0,2.0,,1.0,1.0,,,,,1.0,,,,1.0,,1.0,,,,,
Andrew Robertson,andrew-robertson,A. Robertson,D,26,178,25243,M,andyrobertson94,262911,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,763344000,"{'value': 12800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندرو روبرتسون', 'hi': 'एंड्रयू रॉबर्टसन', 'bn': 'অ্যান্ড্রু রবার্টসন'}, 'shortNameTranslation': {'ar': 'أ. روبرتسون', 'hi': 'ए. रॉबर्टसन', 'bn': 'এ. রবার্টসন'}}",42.0,32.0,3.0,2.0,21.0,25.0,14.0,20.0,,2.0,5.0,,,,90.0,59.0,7.0,11.0,0.046,0.027,0.18173,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,3.0,4.0,2.0,1.0,1.0,,2.0,,1.0,1.0,1.0,,4.0,,,2.0,1.0,1.0,,,,,1.0,,,,,,
Dominik Szoboszlai,dominik-szoboszlai,D. Szoboszlai,M,8,187,66101,M,DomSzobo,869856,"{'alpha2': 'HU', 'alpha3': 'HUN', 'name': 'Hungary', 'slug': 'hungary'}",EUR,972432000,"{'value': 77000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دومينيك سوبوسلاي', 'hi': 'डोमिनिक स्ज़ोबोस्ज़लाई', 'bn': 'ডমিনিক সোবোসজলাই'}, 'shortNameTranslation': {'ar': 'د. سوبوسلاي', 'hi': 'डी. स्ज़ोबोस्ज़लाई', 'bn': 'ডি.সোবোসজলাই'}}",43.0,35.0,3.0,2.0,19.0,23.0,18.0,25.0,,4.0,13.0,,,,90.0,62.0,7.0,14.0,0.01,0.0363,0.0404742,"{'original': 7, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,5.0,2.0,4.0,1.0,3.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,1.0,,,,,,,1.0,,,,,,
Alexis Mac Allister,alexis-mac-allister,A. Mac Allister,M,10,176,73401,M,Macca10,895324,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,914457600,"{'value': 93000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكسيس ماك أليستر', 'hi': 'एलेक्सिस मैक एलिस्टर', 'bn': 'অ্যালেক্সিস ম্যাক অ্যালিস্টার'}, 'shortNameTranslation': {'ar': 'أ. ماك أليستر', 'hi': 'ए. मैक एलिस्टर', 'bn': 'এ. ম্যাক অ্যালিস্টার'}}",41.0,36.0,6.0,3.0,25.0,27.0,11.0,14.0,,4.0,4.0,,,,80.0,52.0,6.5,7.0,0.0365,0.0,0.0031091,"{'original': 6.5, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,6.0,2.0,,,,,1.0,,4.0,1.0,,,,,,3.0,,,,1.0,1.0,,,,,,,
Curtis Jones,curtis-jones,C. Jones,M,17,185,17493,M,curtisjones,927353,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,980812800,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيرتس جونز', 'hi': 'कर्टिस जोन्स', 'bn': 'কার্টিস জোন্স'}, 'shortNameTranslation': {'ar': 'ك. جونز', 'hi': 'सी. जोन्स', 'bn': 'সি. জোন্স'}}",8.0,8.0,,,4.0,4.0,4.0,4.0,,1.0,3.0,,,,26.0,15.0,4.7,,0.0599,0.0,0.0008022,"{'original': 4.7, 'alternative': 4.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,,,,1.0,,,,1.0,,,,,,,2.0,,,,,,,,,,,,
Mohamed Salah,mohamed-salah,M. Salah,M,11,175,561305,M,MoSalah,159665,"{'alpha2': 'EG', 'alpha3': 'EGY', 'name': 'Egypt', 'slug': 'egypt'}",EUR,708566400,"{'value': 44000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'محمد صلاح', 'hi': 'मोहम्मद सलाह', 'bn': 'মোহাম্মদ সালাহ'}, 'shortNameTranslation': {'ar': 'م. صلاح', 'hi': 'एम. सलाह', 'bn': 'এম. সালাহ'}}",20.0,13.0,,,4.0,6.0,9.0,14.0,,2.0,3.0,,,,74.0,33.0,6.7,15.0,0.0341,0.0,0.387458,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,7.0,1.0,5.0,1.0,,,,,,,1.0,2.0,,,,1.0,2.0,1.0,,1.0,1.0,,,,,,,
Cody Gakpo,cody-gakpo,C. Gakpo,M,18,193,53434,M,CodyGakpo,862967,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,926035200,"{'value': 67000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كودي جاكبو', 'hi': 'कोडी गाकपो', 'bn': 'কোডি গাকপো'}, 'shortNameTranslation': {'ar': 'ك. جاكبو', 'hi': 'सी. गाकपो', 'bn': 'সি. গাকপো'}}",11.0,9.0,,,4.0,5.0,5.0,6.0,1.0,2.0,2.0,,,,45.0,17.0,7.5,3.0,0.4159,0.2604,0.0450135,"{'original': 7.5, 'alternative': 7.5}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,,,,1.0,,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,,,,,2.0,,,,1.0,,
