name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,totalClearance,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,goalAssist,totalCross,accurateCross,aerialWon,duelLost,totalContest,wonContest,bigChanceCreated,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,interceptionWon,totalTackle,wonTackle,fouls,expectedGoals,expectedGoalsOnTarget,keyPass,firstName,lastName,challengeLost,unsuccessfulTouch,dispossessed,aerialLost,goals,bigChanceMissed,outfielderBlock,hitWoodwork,errorLeadToAShot,penaltyWon,totalOffside,errorLeadToAGoal,penaltyConceded,penaltyFaced,clearanceOffLine
Richarlison,richarlison,Richarlison,F,9,184,46727,M,Richarlison,840217,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,863222400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريتشارليسون', 'hi': 'रिचर्डसन', 'bn': 'রিচার্লিসন'}, 'shortNameTranslation': {'ar': 'ريتشارليسون', 'hi': 'रिचर्डसन', 'bn': 'রিচার্লিসন'}}",16.0,13.0,1.0,1.0,6.0,7.0,7.0,9.0,4.0,1.0,3.0,2.0,,,,73.0,35.0,8.6,6.0,0.0137614,"{'original': 8.6, 'alternative': 8.5}",6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,4.0,4.0,1.0,,1.0,3.0,2.0,1.0,1.0,1.0,,0.7095,1.1037,,,,1.0,,,,2.0,,,,,,,,,,
Giovani Lo Celso,lo-celso-giovani,G. Lo Celso,M,20,177,16348,M,locelso_giovani,798835,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,829008000,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيوفاني لو سيلسو', 'hi': 'लो सेल्सो, जियोवानी', 'bn': 'লো সেলসো, জিওভানি'}, 'shortNameTranslation': {'ar': 'ج. لو سيلسو', 'hi': 'जी. सेल्सो,', 'bn': 'জি. লো সেলসো'}}",26.0,24.0,2.0,,11.0,11.0,13.0,15.0,3.0,,2.0,,,,,17.0,34.0,6.3,7.0,0.00496548,"{'original': 6.3, 'alternative': 6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,6.0,2.0,1.0,,,,,,2.0,2.0,1.0,,,,,,,,4.0,,,,,,,,,,,,
Pierre-Emile Højbjerg,pierre-emile-hojbjerg,P. Højbjerg,M,8,185,4466,M,hojbjerg23,149593,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,807580800,"{'value': 18100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيير إيميل هويبيرج', 'hi': 'पियरे-एमिले होजबर्ज', 'bn': 'পিয়েরে-এমিল হজবজের্গ'}, 'shortNameTranslation': {'ar': 'ب. هويبيرج', 'hi': 'पी. होजबर्ज', 'bn': 'পি. হজবজের্গ'}}",28.0,27.0,1.0,1.0,12.0,13.0,15.0,15.0,,,4.0,,,,,17.0,30.0,5.6,1.0,0.0044643,"{'original': 5.6, 'alternative': 5.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,
Bryan Gil,bryan-gil,B. Gil,M,21,176,3690,M,bryan11gil,910026,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,981849600,"{'value': 12400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برايان جيل', 'hi': 'ब्रायन गिल', 'bn': 'ব্রায়ান গিল'}, 'shortNameTranslation': {'ar': 'ب. جيل', 'hi': 'बी. गिल', 'bn': 'বি. গিল'}}",7.0,5.0,,,2.0,2.0,3.0,5.0,3.0,,,,,,,10.0,11.0,6.8,3.0,0.0219033,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,1.0,2.0,2.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,
Oliver Skipp,skipp-oliver,O. Skipp,M,22,175,1368,M,,859901,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,969062400,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سكيب، أوليفر', 'hi': 'स्किप, ओलिवर', 'bn': 'স্কিপ, অলিভার'}, 'shortNameTranslation': {'ar': 'أ. سكيب', 'hi': 'ओ. स्किप', 'bn': 'ও. স্কিপ'}}",7.0,6.0,,,,,6.0,7.0,,,,,,,,10.0,8.0,6.3,1.0,0.0114501,"{'original': 6.3, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,1.0,,,,,,0.4122,0.7987,1.0,,,,,,,,1.0,,,,,,,,,
Jamie Donley,jamie-donley,J. Donley,M,14,183,1466,M,,1150934,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,1104710400,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمي دونلي', 'hi': 'जेमी डोनली', 'bn': 'জেমি ডনলি'}, 'shortNameTranslation': {'ar': 'ج. دونلي', 'hi': 'जे. डोनली', 'bn': 'জে. ডনলি'}}",1.0,1.0,,,1.0,1.0,,,,,1.0,,,,,1.0,2.0,,1.0,2.271e-05,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,1.0,,,,,,,,,,,,,,Jamie Donley,,,,1.0,,,,,,,,,,,,
Fraser Forster,fraser-forster,F. Forster,G,,201,1211,M,,19314,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,574560000,"{'value': 660000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فريزر فورستر', 'hi': 'फ्रेजर फोर्स्टर', 'bn': 'ফ্রেজার ফরস্টার'}, 'shortNameTranslation': {'ar': 'ف. فورستر', 'hi': 'एफ. फोर्स्टर', 'bn': 'এফ. ফরস্টার'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerson Royal,emerson-royal,E. Royal,D,22,183,9716,M,emerson_royal,856123,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,916272000,"{'value': 8600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيمرسون رويال', 'hi': 'एमर्सन रॉयल', 'bn': 'এমারসন রয়্যাল'}, 'shortNameTranslation': {'ar': 'إ. رويال', 'hi': 'एमर्सन रॉयल', 'bn': 'এমারসন রয়্যাল'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfie Dorrington,dorrington-alfie,A. Dorrington,D,26,192,513,M,,1177610,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1113955200,"{'value': 720000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دورنجتون، ألفي', 'hi': 'डोरिंगटन, अल्फी', 'bn': 'ডরিংটন, আলফি'}, 'shortNameTranslation': {'ar': 'أ. دورنجتون', 'hi': 'ए. डोरिंगटन', 'bn': 'এ. ডরিংটন'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alejo Véliz,alejo-veliz,A. Véliz,F,9,187,3176,M,aleeveliz,1116987,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1063929600,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليخو فيليز', 'hi': 'एलेजो वेलिज़', 'bn': 'আলেজো ভেলিজ'}, 'shortNameTranslation': {'ar': 'أ. فيليز', 'hi': 'ए. वेलिज़', 'bn': 'এ. ভেলিজ'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,Alejo Veliz,,,,,,,,,,,,,,,,
Martin Dúbravka,martin-dubravka,M. Dúbravka,G,1,190,3025,M,,42209,"{'alpha2': 'SK', 'alpha3': 'SVK', 'name': 'Slovakia', 'slug': 'slovakia'}",EUR,600825600,"{'value': 725000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارتن دوبرافكا', 'hi': 'मार्टिन डुब्राव्का', 'bn': 'মার্টিন ডুব্রাভকা'}, 'shortNameTranslation': {'ar': 'م. دوبرافكا', 'hi': 'एम. डुब्राव्का', 'bn': 'এম. ডুব্রাভকা'}}",27.0,16.0,18.0,7.0,14.0,14.0,2.0,13.0,,,11.0,,4.0,7.0,,90.0,45.0,7.8,12.0,0.00021384,"{'original': 7.8, 'alternative': 6.9}",0,0.6459,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,
Kieran Trippier,kieran-trippier,K. Trippier,D,2,174,8611,M,ktrippier2,69256,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,653702400,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيران تريبيير', 'hi': 'किरन ट्रिप्पियर', 'bn': 'কাইরান ট্রিপিয়ার'}, 'shortNameTranslation': {'ar': 'ك. تريبيير', 'hi': 'के.ट्रिप्पियर', 'bn': 'কে. ট্রিপিয়ার'}}",58.0,48.0,8.0,5.0,23.0,25.0,27.0,44.0,5.0,5.0,7.0,1.0,,,,86.0,91.0,6.6,20.0,0.264887,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,11.0,2.0,2.0,7.0,,,,,,,2.0,2.0,,2.0,,,2.0,,,3.0,,,2.0,,,,,,,,,,,
Jamaal Lascelles,jamaal-lascelles,J. Lascelles,D,6,188,970,M,,153444,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,752976000,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جمال لاسيلس', 'hi': 'जमाल लास्केल्स', 'bn': 'জামাল ল্যাস্কেলস'}, 'shortNameTranslation': {'ar': 'ج. لاسيلس', 'hi': 'जे. लास्केल्स', 'bn': 'জে. ল্যাস্কেলস'}}",41.0,36.0,2.0,1.0,30.0,34.0,6.0,7.0,4.0,5.0,1.0,,,,,90.0,56.0,6.2,6.0,0.0103886,"{'original': 6.2, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,,,5.0,,,,,,,,4.0,2.0,2.0,,,,,,,1.0,,3.0,,,,,,,,,,,
Fabian Schär,fabian-schar,F. Schär,D,5,186,3205,M,,101882,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,693187200,"{'value': 5800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فابيان شار', 'hi': 'फेबियन शार', 'bn': 'ফ্যাবিয়ান শার'}, 'shortNameTranslation': {'ar': 'ف. شار', 'hi': 'एफ. शार', 'bn': 'এফ. শার'}}",45.0,38.0,8.0,5.0,25.0,29.0,13.0,16.0,4.0,6.0,4.0,,,,,90.0,59.0,6.4,8.0,0.00904028,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,4.0,1.0,1.0,,,,,2.0,2.0,1.0,1.0,,,,,,3.0,1.0,,,,,1.0,,,,,,,,
Valentino Livramento,valentino-livramento,V. Livramento,D,21,181,4844,M,,980634,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1037059200,"{'value': 39000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فالنتينو ليفرامينتو', 'hi': 'वैलेंटिनो लिवरामेंटो', 'bn': 'ভ্যালেন্টিনো লিভরামেন্টো'}, 'shortNameTranslation': {'ar': 'ف. ليفرامينتو', 'hi': 'वी. लिवरामेंटो', 'bn': 'ভি. লিভরামেন্টো'}}",26.0,22.0,2.0,1.0,16.0,18.0,6.0,8.0,1.0,2.0,3.0,,,,,73.0,36.0,6.3,5.0,0.0106372,"{'original': 6.3, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,2.0,,,,,,,,1.0,,,,,,,,2.0,1.0,,,,,1.0,,,,,,,,
Lewis Miley,lewis-miley,L. Miley,M,67,188,3070,M,,1400650,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1146441600,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس مايلي', 'hi': 'लुईस माइली', 'bn': 'লুইস মাইলি'}, 'shortNameTranslation': {'ar': 'ل. مايلي', 'hi': 'एल. माइली', 'bn': 'এল. মাইলি'}}",25.0,22.0,1.0,,11.0,13.0,12.0,14.0,4.0,1.0,5.0,,,,,90.0,40.0,6.5,8.0,0.0175391,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,2.0,1.0,,4.0,1.0,,,,,,,4.0,2.0,,,,,Lewis Miley,,1.0,1.0,2.0,,,,,,,,,,,,
Bruno Guimarães,bruno-guimaraes,B. Guimarães,M,39,182,31656,M,BrunoGuimarães,866469,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,879638400,"{'value': 77000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برونو غيماريش', 'hi': 'ब्रूनो गीमरेस', 'bn': 'ব্রুনো গুইমারেস'}, 'shortNameTranslation': {'ar': 'ب. غيمارايش', 'hi': 'बी. गीमरेस', 'bn': 'বি. গুইমারেস'}}",57.0,51.0,6.0,5.0,32.0,34.0,19.0,24.0,8.0,,8.0,2.0,,,,90.0,88.0,7.5,14.0,0.146765,"{'original': 7.5, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,,,7.0,1.0,,,1.0,,,7.0,6.0,4.0,2.0,0.0444,,,,,,1.0,3.0,1.0,,,1.0,,,,,,,,
Joelinton,joelinton,Joelinton,M,7,186,9814,M,joelinton34,560128,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,839980800,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جويلينتون', 'hi': 'जोलिंटन', 'bn': 'জোলিন্টন'}, 'shortNameTranslation': {'ar': 'جولينتون', 'hi': 'जोएलिंटन', 'bn': 'জোলিন্টন'}}",35.0,28.0,3.0,2.0,11.0,15.0,17.0,20.0,8.0,,5.0,3.0,,,,90.0,64.0,6.8,14.0,0.0413825,"{'original': 6.8, 'alternative': 6.3}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,15.0,4.0,2.0,,1.0,1.0,2.0,,3.0,1.0,2.0,0.5383,0.4872,1.0,,,4.0,,5.0,3.0,1.0,,,,,,,,,,
Miguel Almirón,miguel-almiron,M. Almirón,M,10,174,8455,M,miguel_almiron,333373,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,760838400,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميغيل ألميرون', 'hi': 'मिगुएल अल्मिरोन', 'bn': 'মিগুয়েল আলমিরন'}, 'shortNameTranslation': {'ar': 'م. ألميرون', 'hi': 'एम. अल्मिरोन', 'bn': 'এম. আলমিরন'}}",18.0,18.0,,,6.0,6.0,12.0,12.0,6.0,,3.0,2.0,,,,64.0,34.0,7.3,4.0,0.043245,"{'original': 7.3, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,3.0,2.0,2.0,,,1.0,,1.0,2.0,2.0,1.0,0.1428,0.444,,,,,2.0,2.0,,,1.0,1.0,,,,1.0,,,,1.0
